tipo,ruta,ubicacion,latitud_oficial,longitud_oficial,posicion,latitud,longitud,leg,stop_id
ECOBUS,SANTA FE - BALDERAS,GTA. VASCO DE QUIROGA ,19.3791,-99.24835,20,19.3791,-99.24835,inbound,1f2ab164-6ba2-5aa6-b478-0d90e7823e76
ECOBUS,SANTA FE - BALDERAS,CONAFRUT,19.386860000000002,-99.2426,21,19.386860000000002,-99.2426,inbound,6d3b8edc-74fa-53cf-899e-7be318547e0e
ECOBUS,SANTA FE - BALDERAS,RADIO CENTRO,19.39335,-99.2378,22,19.39335,-99.2378,inbound,a8e5d6bd-6d47-5f3f-b6df-b24c15f1de6d
ECOBUS,SANTA FE - BALDERAS,CDA. CONSTITUYENTES,19.395670000000006,-99.22721999999999,23,19.395670000000006,-99.22721999999999,inbound,fb92108c-28df-5651-9d2e-af01be79d4d2
ECOBUS,SANTA FE - BALDERAS,EDO. MAYOR PRESIDENCIAL,19.3958,-99.22316,24,19.3958,-99.22316,inbound,f92aa812-5695-591d-9f20-1a2e659dd3f4
ECOBUS,SANTA FE - BALDERAS,SECRETARIA DE HACIENDA,19.39789,-99.21676,25,19.39789,-99.21676,inbound,aa9ccebb-064a-513e-88b4-5ee82ce06b9c
ECOBUS,SANTA FE - BALDERAS,VOCACIONAL 4,19.3986,-99.21475,26,19.3986,-99.21475,inbound,df37bdfa-9aeb-5dc0-b3b7-5faf607c0c93
ECOBUS,SANTA FE - BALDERAS,OBSERVATORIO,19.40053,-99.2112,27,19.40053,-99.2112,inbound,efe47872-94cd-5fc1-ac85-e149ae9497de
ECOBUS,SANTA FE - BALDERAS,MIRANDA,19.402260000000002,-99.20846,28,19.402260000000002,-99.20846,inbound,5180f995-f613-5d65-b281-ae0f181c20a7
ECOBUS,SANTA FE - BALDERAS,SUR 128,19.40594,-99.20260999999999,29,19.40594,-99.20260999999999,inbound,bf9a7256-68f2-5443-aacf-30b58db00bf8
ECOBUS,SANTA FE - BALDERAS,GRAL. JOSE MA. MENDEVIL,19.40713,-99.20036,30,19.40713,-99.20036,inbound,e5cf4424-e7f7-50c0-8e18-e0d4fb0bd74e
ECOBUS,SANTA FE - BALDERAS,GRAL. JOSE MONTESINOS,19.40881,-99.19736999999999,31,19.40881,-99.19736999999999,inbound,2eb70bba-21b1-58cd-ac71-9f16de82c037
ECOBUS,SANTA FE - BALDERAS,CONSTITUYENTES,19.411739999999998,-99.1919,32,19.411739999999998,-99.1919,inbound,7c950bc2-2dfc-5523-83d2-2eb50c3fb653
ECOBUS,SANTA FE - BALDERAS,U.V.M.,19.41372,-99.18796999999999,33,19.41372,-99.18796999999999,inbound,197c54b3-98ea-538f-a474-cf2d22492ea8
ECOBUS,SANTA FE - BALDERAS,GOB. TIBURCIO MONTIEL,19.41509,-99.18529000000001,34,19.41509,-99.18529000000001,inbound,0052aadb-59ae-5fb1-8937-5fa26d87a3cc
ECOBUS,SANTA FE - BALDERAS,LAS FLORES,19.41636,-99.18115999999999,35,19.41636,-99.18115999999999,inbound,09d93c7b-519c-5478-a367-487905c39be3
ECOBUS,SANTA FE - BALDERAS,CHAPULTEPEC,19.41951,-99.17736,36,19.41951,-99.17736,inbound,dfc3460b-8b10-5900-b2a2-58f8f9fab03a
ECOBUS,SANTA FE - BALDERAS,SONORA,19.42091,-99.17424,37,19.42091,-99.17424,inbound,3ecce0fd-eb1e-5c0d-9c68-a4430e52268c
ECOBUS,SANTA FE - BALDERAS,SEVILLA,19.4217,-99.17071999999999,38,19.4217,-99.17071999999999,inbound,41c63e5e-a994-5394-938a-8816a97f8ec7
ECOBUS,SANTA FE - BALDERAS,MEDELLIN,19.42245,-99.16733,39,19.42245,-99.16733,inbound,214e9c9a-30cc-5043-b8ee-fef0390fcf0a
ECOBUS,SANTA FE - BALDERAS,MERIDA,19.42449,-99.15894,40,19.42449,-99.15894,inbound,72d54e25-5db3-588b-9088-aee24bb74b94
ECOBUS,SANTA FE - BALDERAS,CUAUHTEMOC,19.42549,-99.1547,41,19.42549,-99.1547,inbound,51596828-68e0-502d-a572-f710e10205ce
ECOBUS,SANTA FE - BALDERAS,DR. VERTIZ,19.427039999999998,-99.14641,42,19.427039999999998,-99.14641,inbound,2280b100-5911-583a-ac33-19954bf212d4
ECOBUS,SANTA FE - BALDERAS,C.C. BALDERAS,19.42727,-99.14926,43,19.42727,-99.14926,inbound,a5b306c1-56bd-5200-aa33-1143580a3ed5
